MutationID	5'PartnerGeneName	3'PartnerGeneName
COSF1183	NFATC2	EWSR1
COSF1184	EWSR1	NFATC2
COSF1437	EWSR1	NFATC1
COSF1438	NFATC1	EWSR1
COSF166	EWSR1	FLI1
COSF168	EWSR1	FLI1
COSF170	EWSR1	FLI1
COSF172	EWSR1	FLI1
COSF177	EWSR1	FLI1
COSF181	EWSR1	FLI1
COSF185	EWSR1	FLI1
COSF178	EWSR1	FLI1
COSF184	EWSR1	FLI1
COSF228	EWSR1	FLI1
COSF1303	EWSR1	FLI1
COSF183	EWSR1	FLI1
COSF205	EWSR1	FLI1
COSF179	EWSR1	FLI1
COSF276	EWSR1	FEV
COSF196	EWSR1	FEV
COSF1304	EWSR1	FEV
COSF209	EWSR1	ETV4
COSF285	EWSR1	ETV4
COSF280	EWSR1	ETV4
COSF164	EWSR1	ETV1
COSF197	EWSR1	ETV1
COSF155	EWSR1	ERG
COSF154	EWSR1	ERG
COSF161	EWSR1	ERG
COSF162	EWSR1	ERG
COSF156	EWSR1	ERG
COSF159	EWSR1	ERG
COSF270	EWSR1	DDIT3
COSF274	EWSR1	DDIT3
COSF837	EWSR1	DDIT3
COSF282	EWSR1	DDIT3
COSF284	EWSR1	DDIT3
COSF272	EWSR1	DDIT3
COSF328	EWSR1	DDIT3
COSF265	EWSR1	CREB1
COSF267	EWSR1	CREB1
COSF266	EWSR1	CREB1
COSF268	EWSR1	CREB1
COSF218	EWSR1	ATF1
COSF220	EWSR1	ATF1
COSF243	EWSR1	ATF1
COSF254	EWSR1	ATF1
COSF256	EWSR1	ATF1
COSF257	EWSR1	ATF1
COSF260	ATF1	EWSR1
COSF286	ATF1	EWSR1
COSF299	EWSR1	ATF1
COSF252	EWSR1	ATF1
COSF251	EWSR1	ATF1
COSF250	EWSR1	ATF1
COSF253	EWSR1	ATF1
COSF222	EWSR1	ATF1
COSF2246	ETV6	RUNX1
COSF2248	ETV6	RUNX1
COSF2250	RUNX1	ETV6
COSF2252	RUNX1	ETV6
COSF2269	ETV6	RUNX1
COSF2270	ETV6	RUNX1
COSF2268	ETV6	RUNX1
COSF2266	ETV6	RUNX1
COSF2265	ETV6	RUNX1
COSF2260	ETV6	RUNX1
COSF2259	ETV6	RUNX1
COSF2263	ETV6	RUNX1
COSF2254	ETV6	RUNX1
COSF2282	RUNX1	ETV6
COSF2283	RUNX1	ETV6
COSF2267	ETV6	RUNX1
COSF2284	RUNX1	ETV6
COSF2286	RUNX1	ETV6
COSF2285	RUNX1	ETV6
COSF2271	ETV6	RUNX1
COSF2272	ETV6	RUNX1
COSF2273	ETV6	RUNX1
COSF2274	ETV6	RUNX1
COSF2275	ETV6	RUNX1
COSF2276	ETV6	RUNX1
COSF2277	ETV6	RUNX1
COSF2278	ETV6	RUNX1
COSF2279	ETV6	RUNX1
COSF2262	ETV6	RUNX1
COSF2261	ETV6	RUNX1
COSF2281	RUNX1	ETV6
COSF2280	ETV6	RUNX1
COSF2257	RUNX1	ETV6
COSF2256	ETV6	RUNX1
COSF2264	ETV6	RUNX1
COSF2258	ETV6	RUNX1
COSF572	ETV6	NTRK3
COSF1535	ETV6	NTRK3
COSF1537	ETV6	NTRK3
COSF824	ETV6	NTRK3
COSF889	NTRK3	ETV6
COSF495	ETV6	NTRK3
COSF990	ETV6	JAK2
COSF1068	ETV6	JAK2
COSF1066	ETV6	JAK2
COSF992	JAK2	ETV6
COSF498	ETV6	JAK2
COSF680	ETV6	ITPR2
COSF873	RAF1	ESRP1
COSF830	ESRP1	RAF1
COSF668	ERO1L	FERMT2
COSF1628	ERC1	ROS1
COSF1508	ERC1	RET
COSF1453	EPC1	PHF1
COSF463	EML4	ALK
COSF474	EML4	ALK
COSF465	EML4	ALK
COSF734	EML4	ALK
COSF488	EML4	ALK
COSF1376	EML4	ALK
COSF1545	EML4	ALK
COSF480	EML4	ALK
COSF475	EML4	ALK
COSF733	EML4	ALK
COSF1063	EML4	ALK
COSF1065	EML4	ALK
COSF1128	EML4	ALK
COSF1297	EML4	ALK
COSF1368	EML4	ALK
COSF1540	EML4	ALK
COSF1542	EML4	ALK
COSF1543	EML4	ALK
COSF731	EML4	ALK
COSF493	EML4	ALK
COSF491	EML4	ALK
COSF490	EML4	ALK
COSF489	EML4	ALK
COSF476	EML4	ALK
COSF464	EML4	ALK
COSF462	EML4	ALK
COSF410	EML4	ALK
COSF414	EML4	ALK
COSF473	EML4	ALK
COSF704	EIF3K	CYP39A1
COSF1308	EIF3E	RSPO2
COSF2218	DNAJB1	PRKACA
COSF2234	DNAJB1	PRKACA
COSF2235	DNAJB1	PRKACA
COSF2240	DNAJB1	PRKACA
COSF2237	DNAJB1	PRKACA
COSF2238	DNAJB1	PRKACA
COSF2239	DNAJB1	PRKACA
COSF2233	DNAJB1	PRKACA
COSF2236	DNAJB1	PRKACA
COSF2298	DHH	RHEBL1
COSF1167	DDX5	ETV4
COSF1626	DCTN1	ALK
COSF1617	DCTN1	ALK
COSF1078	CTNNB1	PLAG1
COSF1080	CTNNB1	PLAG1
COSF1082	PLAG1	CTNNB1
COSF1084	PLAG1	CTNNB1
COSF698	CTAGE5	SIP1
COSF1105	CRTC3	MAML2
COSF1103	CRTC1	MAML2
COSF1107	MAML2	CRTC1
COSF1099	COL1A2	PLAG1
COSF1415	COL1A1	USP6
COSF1398	COL1A1	USP6
COSF534	COL1A1	PDGFB
COSF536	COL1A1	PDGFB
COSF557	COL1A1	PDGFB
COSF641	COL1A1	PDGFB
COSF645	COL1A1	PDGFB
COSF559	COL1A1	PDGFB
COSF551	COL1A1	PDGFB
COSF565	COL1A1	PDGFB
COSF555	COL1A1	PDGFB
COSF546	COL1A1	PDGFB
COSF553	COL1A1	PDGFB
COSF561	COL1A1	PDGFB
COSF602	COL1A1	PDGFB
COSF637	COL1A1	PDGFB
COSF596	COL1A1	PDGFB
COSF643	COL1A1	PDGFB
COSF647	COL1A1	PDGFB
COSF542	COL1A1	PDGFB
COSF538	COL1A1	PDGFB
COSF594	COL1A1	PDGFB
COSF592	COL1A1	PDGFB
COSF540	COL1A1	PDGFB
COSF532	COL1A1	PDGFB
COSF818	COL1A1	PDGFB
COSF655	COL1A1	PDGFB
COSF651	COL1A1	PDGFB
COSF649	COL1A1	PDGFB
COSF635	COL1A1	PDGFB
COSF627	COL1A1	PDGFB
COSF606	COL1A1	PDGFB
COSF604	COL1A1	PDGFB
COSF544	COL1A1	PDGFB
COSF598	COL1A1	PDGFB
COSF600	COL1A1	PDGFB
COSF820	COL1A1	PDGFB
COSF1286	COL1A1	PDGFB
COSF653	COL1A1	PDGFB
COSF548	COL1A1	PDGFB
COSF639	COL1A1	PDGFB
COSF563	COL1A1	PDGFB
COSF1292	COL1A1	PDGFB
COSF816	COL1A1	PDGFB
COSF608	COL1A1	PDGFB
COSF656	COL1A1	PDGFB
COSF1290	COL1A1	PDGFB
COSF1294	COL1A1	PDGFB
COSF549	COL1A1	PDGFB
COSF1418	CNBP	USP6
COSF800	CLTC	TFE3
COSF435	CLTC	ALK
COSF472	CLTC	ALK
COSF470	CLTC	ALK
COSF436	CLTC	ALK
COSF1644	CLIP1	ROS1
COSF1441	CLCN6	BRAF
COSF1711	CIC	FOXO4
COSF1709	CIC	FOXO4
COSF1373	CIC	DUX4L1
COSF1375	CIC	DUX4L1
COSF1370	CIC	DUX4L1
COSF1371	CIC	DUX4L1
COSF1089	CHCHD7	PLAG1
COSF1650	CEP89	BRAF
COSF1623	CDKN2D	WDFY2
COSF1624	CDKN2D	WDFY2
COSF1400	CDH11	USP6
COSF1402	CDH11	USP6
COSF1408	CDH11	USP6
COSF1406	CDH11	USP6
COSF1404	CDH11	USP6
COSF1409	CDH11	USP6
COSF1201	CD74	ROS1
COSF1203	CD74	ROS1
COSF1619	CD74	ROS1
COSF1636	CD74	NRG1
COSF1666	CD74	NRG1
COSF1272	CCDC6	RET
COSF1516	CCDC6	RET
COSF1532	CCDC6	RET
COSF1533	CCDC6	RET
COSF1518	CCDC6	RET
COSF1480	CCDC6	RET
COSF2290	CBFA2T3	GLIS2
COSF2296	CBFA2T3	GLIS2
COSF2288	CBFA2T3	GLIS2
COSF2293	CBFA2T3	GLIS2
COSF753	CARS	ALK
COSF438	CARS	ALK
COSF1156	CANT1	ETV4
COSF1165	CANT1	ETV4
COSF1264	C2orf44	ALK
COSF781	BRD4	NUTM1
COSF821	BRD4	BRD4
COSF974	BRD3	NUTM1
COSF975	BRD3	BRD3
COSF757	BCR	JAK2
COSF988	BCR	JAK2
COSF758	BCR	JAK2
COSF1756	BCR	ABL1
COSF1758	BCR	ABL1
COSF1760	BCR	ABL1
COSF1762	BCR	ABL1
COSF1744	BCR	ABL1
COSF1754	BCR	ABL1
COSF1764	BCR	ABL1
COSF1794	BCR	ABL1
COSF1775	BCR	ABL1
COSF1752	BCR	ABL1
COSF1778	BCR	ABL1
COSF1746	BCR	ABL1
COSF1789	BCR	ABL1
COSF1782	BCR	ABL1
COSF1780	BCR	ABL1
COSF1773	BCR	ABL1
COSF1769	BCR	ABL1
COSF1768	BCR	ABL1
COSF1766	BCR	ABL1
COSF1748	BCR	ABL1
COSF1740	BCR	ABL1
COSF1742	BCR	ABL1
COSF1783	BCR	ABL1
COSF725	BBS9	PKD1L1
COSF445	ATIC	ALK
COSF446	ATIC	ALK
COSF712	ATG4C	FBXO38
COSF394	ASPSCR1	TFE3
COSF396	ASPSCR1	TFE3
COSF838	TFE3	ASPSCR1
COSF875	TFE3	ASPSCR1
COSF814	ASPSCR1	TFE3
COSF769	TFE3	ASPSCR1
COSF1175	ARID1A	MAST2
COSF682	ARFIP1	FHDC1
COSF1017	AKAP9	BRAF
COSF1014	AKAP9	BRAF
COSF1016	BRAF	AKAP9
COSF829	AGTRAP	BRAF
COSF696	AGPAT5	MCPH1
COSF1384	ACTB	GLI1
COSF1389	ACTB	GLI1
COSF1390	GLI1	ACTB
COSF1395	GLI1	ACTB
COSF1392	ACTB	GLI1
COSF1393	ACTB	GLI1
COSF1394	ACTB	GLI1
COSF1391	ACTB	GLI1
COSF1126	ACSL3	ETV1
COSF688	ACBD6	RRP15
