Fus_ID	5tail	5	3tail	3	target	fusion_pair	ref
Fus_304	DCTN1	26	ALK	20	ALK	DCTN1–ALK	cosmic_fusion
Fus_305	DCTN1	16	ALK	20	ALK	DCTN1–ALK	cosmic_fusion
Fus_306	EML4	13	ALK	20	ALK	EML4–ALK	cosmic_fusion
Fus_307	EML4	6	ALK	20	ALK	EML4–ALK	cosmic_fusion
Fus_308	EML4	20	ALK	20	ALK	EML4–ALK	cosmic_fusion
Fus_309	EML4	6	ALK	20	ALK	EML4–ALK	cosmic_fusion
Fus_310	EML4	18	ALK	20	ALK	EML4–ALK	cosmic_fusion
Fus_311	EML4	18	ALK	20	ALK	EML4–ALK	cosmic_fusion
Fus_312	EML4	6	ALK	20	ALK	EML4–ALK	cosmic_fusion
Fus_313	EML4	2	ALK	20	ALK	EML4–ALK	cosmic_fusion
Fus_314	EML4	15	ALK	20	ALK	EML4–ALK	cosmic_fusion
Fus_315	EML4	17	ALK	20	ALK	EML4–ALK	cosmic_fusion
Fus_316	EML4	13	ALK	20	ALK	EML4–ALK	cosmic_fusion
Fus_317	EML4	14	ALK	20	ALK	EML4–ALK	cosmic_fusion
Fus_318	EML4	14	ALK	20	ALK	EML4–ALK	cosmic_fusion
Fus_319	EML4	6	ALK	19	ALK	EML4–ALK	cosmic_fusion
Fus_320	EML4	17	ALK	20	ALK	EML4–ALK	cosmic_fusion
Fus_321	EML4	13	ALK	20	ALK	EML4–ALK	cosmic_fusion
Fus_322	EML4	14	ALK	20	ALK	EML4–ALK	cosmic_fusion
Fus_323	EML4	2	ALK	20	ALK	EML4–ALK	cosmic_fusion
Fus_324	EML4	20	ALK	20	ALK	EML4–ALK	cosmic_fusion
Fus_325	EML4	6	ALK	20	ALK	EML4–ALK	cosmic_fusion
Fus_326	EML4	14	ALK	20	ALK	EML4–ALK	cosmic_fusion
Fus_327	EML4	20	ALK	20	ALK	EML4–ALK	cosmic_fusion
Fus_328	EML4	13	ALK	20	ALK	EML4–ALK	cosmic_fusion
Fus_329	EML4	6	ALK	20	ALK	EML4–ALK	cosmic_fusion
Fus_330	EML4	20	ALK	20	ALK	EML4–ALK	cosmic_fusion
Fus_331	EML4	13	ALK	20	ALK	EML4–ALK	cosmic_fusion
Fus_332	EML4	13	ALK	20	ALK	EML4–ALK	cosmic_fusion
Fus_333	EML4	13	ALK	20	ALK	EML4–ALK	cosmic_fusion
Fus_334	EML4	.	ALK	.	ALK	EML4–ALK	cosmic_fusion
Fus_335	FN1	23	ALK	19	ALK	FN1–ALK	cosmic_fusion
Fus_336	HIP1	28	ALK	20	ALK	HIP1–ALK	cosmic_fusion
Fus_337	HIP1	30	ALK	20	ALK	HIP1–ALK	cosmic_fusion
Fus_338	HIP1	21	ALK	20	ALK	HIP1–ALK	cosmic_fusion
Fus_339	KIF5B	24	ALK	20	ALK	KIF5B–ALK	cosmic_fusion
Fus_340	KIF5B	15	ALK	20	ALK	KIF5B–ALK	cosmic_fusion
Fus_341	KIF5B	17	ALK	20	ALK	KIF5B–ALK	cosmic_fusion
Fus_342	KIF5B	15	ALK	19	ALK	KIF5B–ALK	cosmic_fusion
Fus_343	KIF5B	.	ALK	.	ALK	KIF5B–ALK	cosmic_fusion
Fus_344	KLC1	10	ALK	20	ALK	KLC1–ALK	cosmic_fusion
